modele,best_recall_cv,best_f1_cv,best_roc_auc_cv,best_accuracy_cv,best_params,accuracy_test,precision_test,recall_test,f1_test
LogisticRegression,0.9974999999999999,0.8839303270571017,0.998296875,0.9125,"{'imputation__strategy': 'mean', 'model__C': 0.01, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}",0.8933333333333333,0.7575757575757576,1.0,0.8620689655172413
RandomForest,0.9875,0.9874674753982255,0.999390625,0.9916666666666666,"{'imputation__strategy': 'mean', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.8933333333333333,0.7575757575757576,1.0,0.8620689655172413
KNN,0.9825000000000002,0.9861944765445247,0.9953515625,0.9908333333333335,"{'imputation__strategy': 'mean', 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'scaler': StandardScaler()}",0.8933333333333333,0.7575757575757576,1.0,0.8620689655172413
