iso3,country_label,disponibilite_volaille_kg_hab_an,log_population_2017,part_importations_poulet,log_production_poulet,ease_business_score,political_stability,log_gdp_per_capita,log_distance_france,langue_officielle_commune_france,log_evenements_sanitaires,signal_maturite_bio_import
AFG,Afghanistan,-1.177417015514651,0.8403816614041953,0.6591368112558379,-0.32585150833678544,-2.070163164861264,-3.143325708189934,-1.4953180987164327,0.25500906299805465,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
AGO,Angola,-0.564112462656256,0.7333350180812193,1.736000341408214,-0.1690730591844005,-1.9186814798839351,-0.3123453682385948,-0.36493940505047373,0.427781794018252,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
ALB,Albania,-0.1701848428800998,-0.5381129921543687,0.8529869229311332,-0.6388814093684629,0.32716813742965006,0.5014182112615879,0.1550605310962962,-1.1610468288181521,-0.47967540647319123,-0.5194246442940337,-0.5641725854228717
ARE,United Arab Emirates,1.6710871867977615,0.10997168723433165,1.7868243574521327,-0.025315976387510965,1.3328921913524485,0.776493224050382,1.6285850195413933,0.18366556642987938,-0.47967540647319123,-0.5194246442940337,-0.31850786643474155
ARG,Argentina,1.5875473639831632,0.944385519864875,-0.8831233605010758,1.458596890215924,-0.4417035787495246,0.26072757507139305,0.6186674990499513,1.030085114900076,-0.47967540647319123,1.6863501750003655,0.13538694769570847
ARM,Armenia,-0.19056040942024588,-0.52679288108994,1.4236731743139333,-0.720034500448984,0.702953467465014,-0.6447276753583877,0.011401508606593778,-0.29761056881186326,-0.47967540647319123,-0.5194246442940337,-0.5548139294614192
ATG,Antigua and Barbuda,2.393061427870269,-2.388276691622612,2.123510288822024,-3.217259159038509,-0.24103424640421559,0.9254921893109789,0.5382003720861365,0.4618360273167373,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
AUS,Australia,1.9549867472571294,0.6282978188926153,-0.8786559555062783,1.2352702277932182,1.4506893116102144,1.0859526134377755,1.2893647486013036,1.5147675707125936,-0.47967540647319123,-0.5194246442940337,1.667866861383568
AUT,Austria,-0.04521470143387094,0.07027149726730172,-0.09633841782017272,0.3020887807174762,1.2850037976966109,1.2693359552969714,1.384510448872206,-1.6571084456386702,-0.47967540647319123,2.2259941803314724,4.894263504094344
AZE,Azerbaijan,-0.39092014706501493,0.13014076261399962,-0.32666952190624043,0.2206859664638069,0.35151986414864467,-0.7937266406189846,0.1683130252726424,-0.1775645691755489,-0.47967540647319123,-0.5194246442940337,-0.39103745013599905
BEL,Belgique,-0.4221626824265721,0.21089314047765814,0.07406152498155492,0.8266922496583758,0.7584041633174218,0.5587255055925867,1.3207813263889456,-3.210702589381872,2.08474311274887,2.3717461782477693,0.8934380805733674
BEN,Benin,-0.30330521094238705,0.1991094936686111,1.6332943699826536,-0.6024158243473,-0.9044549805505012,0.10026715094459643,-1.301298295550558,0.0646481081196423,2.08474311274887,-0.5194246442940337,-0.3413783099055508
BFA,Burkina Faso,-1.1271572847156242,0.49353163508995057,-0.8849112522115795,0.46279331360016124,-0.9387278408950034,-1.0000329002105803,-1.618451746643295,-0.10136766702724959,2.08474311274887,-0.5194246442940337,-0.3512631622998255
BGD,Bangladesh,-1.1794545721686656,1.646889944001311,-0.8835281999696986,0.4786146846658616,-1.7124584431616336,-1.3782610427951723,-0.8188168595276353,0.6496170058560675,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
BGR,Bulgaria,0.21695092138267438,-0.04761432215942607,0.6994388810680997,0.1459761733280179,0.7190722833944007,0.44411091693058913,0.5757741830472966,-1.055046376312071,-0.47967540647319123,1.5351916155622356,0.060517700004087835
BIH,Bosnia and Herzegovina,-0.14709253413460102,-0.4563826635230946,-0.558783791852165,-0.0004035201213839812,0.19876152117590704,-0.3352682859709943,0.12305777236727779,-1.35406763548651,-0.47967540647319123,0.020219361037073082,-0.5594932574421454
BLR,Belarus,0.6190287677748891,0.10784623503837983,-0.7789071782479203,0.8525435363743543,0.8710623719982203,0.00857548001499837,0.3993274720686627,-1.0151900338440027,-0.47967540647319123,-0.5194246442940337,-0.5488104061071559
BLZ,Belize,0.46349527651844136,-1.6463432587127755,-0.8856534596811456,-0.466243153607025,-0.6060317356793883,0.11172860981079619,-0.24541606803763125,0.7519656892514177,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
BRA,Brazil,1.9807957982079811,1.7903554676268925,-0.8853809473811249,2.2241474932430165,-0.5780324146877975,-0.4154984980343926,0.18376727936546278,0.8453951015258383,-0.47967540647319123,0.5598633663681798,-0.5103603136445194
